,Station,Month,Daily Rainfall Total (mm),Maximum Temperature (°C),Minimum Temperature (°C),Dengue Clusters,Date,Latitude,Longitude
112,Tai Seng,6.0,0.4,32.9,26.4,0,2013-06-02,1.3399,103.8878
113,Tuas South,6.0,0.0,32.5,23.5,0,2013-06-02,1.2938,103.6184
114,Admiralty,6.0,1.0,33.5,26.6,0,2013-06-03,1.4439,103.7854
115,Ang Mo Kio,6.0,4.8,33.5,25.4,0,2013-06-03,1.3764,103.8492
116,Changi,6.0,17.2,32.5,24.1,0,2013-06-03,1.3678,103.9826
117,Choa Chu Kang (South),6.0,1.8,33.5,26.6,0,2013-06-03,1.3729,103.7224
118,Clementi,6.0,0.0,33.3,26.7,0,2013-06-03,1.3337,103.7768
119,East Coast Parkway,6.0,32.4,31.0,24.1,0,2013-06-03,1.3134,103.9619
120,Jurong (West),6.0,0.4,34.0,26.6,0,2013-06-03,1.3455,103.6806
121,Jurong Island,6.0,0.2,32.1,25.3,0,2013-06-03,1.2542,103.6741
122,Marina Barrage,6.0,0.2,32.5,26.8,0,2013-06-03,1.2799,103.8703
123,Newton,6.0,0.0,32.9,27.1,0,2013-06-03,1.3106,103.8365
124,Pasir Panjang,6.0,0.0,32.0,26.4,0,2013-06-03,1.281,103.754
125,Paya Lebar,6.0,38.0,33.5,26.2,0,2013-06-03,1.3524,103.9007
126,Pulau Ubin,6.0,24.6,32.9,24.5,0,2013-06-03,1.4168,103.9673
127,Seletar,6.0,25.7,33.4,24.9,0,2013-06-03,1.4166,103.8654
128,Semakau Island,6.0,0.0,30.6,25.4,0,2013-06-03,1.189,103.768
129,Sembawang,6.0,4.2,33.1,24.7,0,2013-06-03,1.4252,103.8202
130,Sentosa Island,6.0,2.0,31.1,25.6,0,2013-06-03,1.25,103.8279
131,Tai Seng,6.0,4.6,33.1,26.4,0,2013-06-03,1.3399,103.8878
132,Tuas South,6.0,10.0,32.2,26.2,0,2013-06-03,1.2938,103.6184
133,Admiralty,6.0,0.2,33.2,25.2,0,2013-06-04,1.4439,103.7854
134,Ang Mo Kio,6.0,0.0,32.8,25.4,0,2013-06-04,1.3764,103.8492
135,Changi,6.0,0.0,30.6,25.2,0,2013-06-04,1.3678,103.9826
136,Choa Chu Kang (South),6.0,1.0,32.7,25.6,0,2013-06-04,1.3729,103.7224
137,Clementi,6.0,0.2,31.4,25.9,0,2013-06-04,1.3337,103.7768
138,East Coast Parkway,6.0,0.0,30.0,26.3,0,2013-06-04,1.3134,103.9619
139,Jurong (West),6.0,0.0,32.5,25.2,0,2013-06-04,1.3455,103.6806
140,Jurong Island,6.0,0.0,31.5,25.8,0,2013-06-04,1.2542,103.6741
141,Marina Barrage,6.0,0.0,31.9,27.3,0,2013-06-04,1.2799,103.8703
142,Newton,6.0,1.0,32.1,26.2,0,2013-06-04,1.3106,103.8365
143,Pasir Panjang,6.0,0.0,30.7,26.8,0,2013-06-04,1.281,103.754
144,Paya Lebar,6.0,0.0,32.2,26.1,0,2013-06-04,1.3524,103.9007
145,Pulau Ubin,6.0,5.4,33.1,24.0,0,2013-06-04,1.4168,103.9673
146,Seletar,6.0,0.9,33.7,25.5,0,2013-06-04,1.4166,103.8654
147,Semakau Island,6.0,1.8,29.8,26.4,0,2013-06-04,1.189,103.768
148,Sembawang,6.0,1.8,32.4,24.7,0,2013-06-04,1.4252,103.8202
149,Sentosa Island,6.0,0.0,30.6,26.0,0,2013-06-04,1.25,103.8279
150,Tai Seng,6.0,0.0,31.8,26.8,0,2013-06-04,1.3399,103.8878
151,Tuas South,6.0,0.4,31.1,25.1,0,2013-06-04,1.2938,103.6184
152,Admiralty,6.0,5.6,34.7,24.0,0,2013-06-05,1.4439,103.7854
153,Ang Mo Kio,6.0,35.6,34.7,23.2,0,2013-06-05,1.3764,103.8492
154,Changi,6.0,21.6,33.4,22.9,0,2013-06-05,1.3678,103.9826
155,Choa Chu Kang (South),6.0,67.2,33.1,23.2,0,2013-06-05,1.3729,103.7224
156,Clementi,6.0,60.2,33.7,22.4,0,2013-06-05,1.3337,103.7768
157,East Coast Parkway,6.0,56.6,31.3,22.9,0,2013-06-05,1.3134,103.9619
158,Jurong (West),6.0,10.4,34.5,23.4,0,2013-06-05,1.3455,103.6806
159,Jurong Island,6.0,0.4,32.4,25.5,0,2013-06-05,1.2542,103.6741
160,Marina Barrage,6.0,13.6,32.9,23.7,0,2013-06-05,1.2799,103.8703
161,Newton,6.0,9.4,32.5,23.8,0,2013-06-05,1.3106,103.8365
162,Pasir Panjang,6.0,21.4,32.3,24.0,0,2013-06-05,1.281,103.754
163,Paya Lebar,6.0,64.1,35.0,23.6,0,2013-06-05,1.3524,103.9007
164,Pulau Ubin,6.0,13.0,33.8,23.8,0,2013-06-05,1.4168,103.9673
165,Seletar,6.0,103.9,34.2,23.8,0,2013-06-05,1.4166,103.8654
166,Semakau Island,6.0,1.2,31.7,25.7,0,2013-06-05,1.189,103.768
167,Sembawang,6.0,33.5,33.8,23.4,0,2013-06-05,1.4252,103.8202
168,Sentosa Island,6.0,36.6,32.4,23.6,0,2013-06-05,1.25,103.8279
169,Tai Seng,6.0,32.2,33.9,24.2,0,2013-06-05,1.3399,103.8878
170,Tuas South,6.0,0.6,32.6,25.1,0,2013-06-05,1.2938,103.6184
171,Admiralty,6.0,13.8,33.9,24.3,0,2013-06-06,1.4439,103.7854
172,Ang Mo Kio,6.0,53.6,34.4,24.4,0,2013-06-06,1.3764,103.8492
173,Changi,6.0,3.6,32.4,24.6,0,2013-06-06,1.3678,103.9826
174,Choa Chu Kang (South),6.0,0.4,33.9,24.2,0,2013-06-06,1.3729,103.7224
175,Clementi,6.0,0.8,33.4,24.4,0,2013-06-06,1.3337,103.7768
176,East Coast Parkway,6.0,5.0,32.1,25.2,0,2013-06-06,1.3134,103.9619
177,Jurong (West),6.0,1.2,34.0,24.0,0,2013-06-06,1.3455,103.6806
178,Jurong Island,6.0,0.0,33.4,26.4,0,2013-06-06,1.2542,103.6741
179,Marina Barrage,6.0,0.6,34.8,26.0,0,2013-06-06,1.2799,103.8703
180,Newton,6.0,2.6,33.8,24.8,0,2013-06-06,1.3106,103.8365
181,Pasir Panjang,6.0,0.0,33.8,26.0,0,2013-06-06,1.281,103.754
182,Paya Lebar,6.0,22.4,34.2,25.2,0,2013-06-06,1.3524,103.9007
183,Pulau Ubin,6.0,0.0,33.0,23.8,0,2013-06-06,1.4168,103.9673
184,Seletar,6.0,13.4,34.6,24.6,0,2013-06-06,1.4166,103.8654
185,Semakau Island,6.0,0.0,32.2,27.2,0,2013-06-06,1.189,103.768
186,Sembawang,6.0,8.2,33.9,23.3,0,2013-06-06,1.4252,103.8202
187,Sentosa Island,6.0,8.0,33.2,25.5,0,2013-06-06,1.25,103.8279
188,Tai Seng,6.0,34.2,33.58888888888889,25.0,0,2013-06-06,1.3399,103.8878
189,Tuas South,6.0,0.0,33.6,26.1,0,2013-06-06,1.2938,103.6184
190,Admiralty,6.0,12.2,34.9,24.7,0,2013-06-07,1.4439,103.7854
191,Ang Mo Kio,6.0,27.8,34.5,23.5,0,2013-06-07,1.3764,103.8492
192,Changi,6.0,1.0,33.7,25.7,0,2013-06-07,1.3678,103.9826
193,Choa Chu Kang (South),6.0,14.8,35.1,24.5,0,2013-06-07,1.3729,103.7224
194,Clementi,6.0,23.8,34.4,24.4,0,2013-06-07,1.3337,103.7768
195,East Coast Parkway,6.0,7.8,31.8,25.3,0,2013-06-07,1.3134,103.9619
196,Jurong (West),6.0,1.6,34.9,24.6,0,2013-06-07,1.3455,103.6806
197,Jurong Island,6.0,8.2,33.5,26.1,0,2013-06-07,1.2542,103.6741
198,Marina Barrage,6.0,0.0,33.9,26.7,0,2013-06-07,1.2799,103.8703
199,Newton,6.0,1.8,33.1,24.7,0,2013-06-07,1.3106,103.8365
200,Pasir Panjang,6.0,2.4,33.5,26.3,0,2013-06-07,1.281,103.754
201,Paya Lebar,6.0,7.9,35.4,25.8,0,2013-06-07,1.3524,103.9007
202,Pulau Ubin,6.0,1.4,33.5,24.2,0,2013-06-07,1.4168,103.9673
203,Seletar,6.0,56.0,33.9,24.4,0,2013-06-07,1.4166,103.8654
204,Semakau Island,6.0,2.2,32.4,27.4,0,2013-06-07,1.189,103.768
205,Sembawang,6.0,31.5,34.1,23.3,0,2013-06-07,1.4252,103.8202
206,Sentosa Island,6.0,0.2,32.2,25.8,0,2013-06-07,1.25,103.8279
207,Tai Seng,6.0,3.2,33.8,26.0,0,2013-06-07,1.3399,103.8878
208,Tuas South,6.0,0.0,34.1,26.8,0,2013-06-07,1.2938,103.6184
209,Admiralty,6.0,0.0,33.5,25.0,0,2013-06-08,1.4439,103.7854
210,Ang Mo Kio,6.0,1.4,33.5,24.8,0,2013-06-08,1.3764,103.8492
211,Changi,6.0,2.0,32.3,25.2,0,2013-06-08,1.3678,103.9826
212,Choa Chu Kang (South),6.0,0.0,33.7,24.4,0,2013-06-08,1.3729,103.7224
213,Clementi,6.0,6.2,32.2,24.7,0,2013-06-08,1.3337,103.7768
214,East Coast Parkway,6.0,1.8,30.7,25.8,0,2013-06-08,1.3134,103.9619
215,Jurong (West),6.0,0.8,33.4,24.4,0,2013-06-08,1.3455,103.6806
216,Jurong Island,6.0,22.2,32.9,26.2,0,2013-06-08,1.2542,103.6741
217,Marina Barrage,6.0,0.2,33.4,26.5,0,2013-06-08,1.2799,103.8703
218,Newton,6.0,10.8,32.3,25.3,0,2013-06-08,1.3106,103.8365
219,Pasir Panjang,6.0,28.4,32.0,26.4,0,2013-06-08,1.281,103.754
220,Paya Lebar,6.0,0.0,32.8,26.1,0,2013-06-08,1.3524,103.9007
221,Pulau Ubin,6.0,26.4,33.5,23.4,0,2013-06-08,1.4168,103.9673
222,Seletar,6.0,0.9,34.0,25.0,0,2013-06-08,1.4166,103.8654
223,Semakau Island,6.0,8.2,31.9,27.6,0,2013-06-08,1.189,103.768
224,Sembawang,6.0,0.0,33.5,23.2,0,2013-06-08,1.4252,103.8202
225,Sentosa Island,6.0,25.8,32.4,26.1,0,2013-06-08,1.25,103.8279
226,Tai Seng,6.0,0.0,33.0,26.0,0,2013-06-08,1.3399,103.8878
227,Tuas South,6.0,5.6,31.8,26.3,0,2013-06-08,1.2938,103.6184
228,Admiralty,6.0,0.0,30.3,25.2,0,2013-06-09,1.4439,103.7854
229,Ang Mo Kio,6.0,6.2,30.3,24.2,0,2013-06-09,1.3764,103.8492
230,Changi,6.0,14.0,29.6,24.8,0,2013-06-09,1.3678,103.9826
231,Choa Chu Kang (South),6.0,1.6,30.9,25.1,0,2013-06-09,1.3729,103.7224
232,Clementi,6.0,2.6,29.5,23.8,0,2013-06-09,1.3337,103.7768
